name,coordinates,description,category,subCategory,link
Ende Nadu,"11.940415734063683, 79.83482802155046",,food,south-indian,https://maps.app.goo.gl/6XiaeEyxQaME6LjR7
Kamireddy Foods,"11.942762156844944, 79.80371160900435",,food,south-indian,https://maps.app.goo.gl/dX3g1J288NqmiVyVA
Kushi Hyderabadi Biriyani,"11.944196809053619, 79.80384000986906",,food,south-indian,https://maps.app.goo.gl/LRKj3xna3h7Uop519
Kongu Kitchen,"11.930107365208997, 79.82617637367049",,food,south-indian,https://maps.app.goo.gl/XWHuMXSYZZk73LXg7
Sri Murugan Cafe,"11.937665169374066, 79.82769305038626",Vegetarian restaurant,food,south-indian,https://maps.app.goo.gl/RFtEXWrS5U5aDEqU9
Surguru Restaurant,"11.934673707828539, 79.80826600805784",Vegetarian restaurant,food,south-indian,https://maps.app.goo.gl/easizLCWiK52CKCcA
Punjabi Dhaba,"11.939838434510971, 79.83275507922204",,food,north-indian,https://maps.app.goo.gl/oGtLZowCycMTC4fH7
Dilliwaala6,"11.936756124298093, 79.83540715832731",,food,north-indian,https://maps.app.goo.gl/9BuwvkD1gmgMUFws6
Bro's plan B,"12.000236842683277, 79.80136959641571",,food,north-indian,https://maps.app.goo.gl/RSxCN2apRE5ixRdQ8
Just Parathas,"11.938972997540521, 79.83350663315323",,food,north-indian,https://maps.app.goo.gl/CGcQid1gu583eMbn7
Kokonut Lagoon,"11.944798947984868, 79.80198720990835",,food,multicuisine,https://maps.app.goo.gl/7RgLigie48oo2EHfA
Copper Kitchen,"11.933267451667582, 79.80834088107255",,food,multicuisine,https://maps.app.goo.gl/DtR2NfXzkD6WbNQE8
Prawn and Crab,"11.951981402659154, 79.81742517367047",,food,multicuisine,https://maps.app.goo.gl/MfyNiUgHcSXJULPX7
Terrassen Cafe,"11.987977186862354, 79.836079975521","Family-friendly vegan restaurant and vegetarian cafe serving a diverse menu inspired by Mediterranean, North Indian, Italian, and American cuisines.",food,multicuisine,https://maps.app.goo.gl/HUdXZcMeNVjtCSnX7
Conscious Cafe,"11.992734618941885, 79.81796418901364",,food,cafe,https://maps.app.goo.gl/PLTHXjyzqk9pooC1A
Hope Cafe,"11.930737229891328, 79.83376229880524",,food,cafe,https://maps.app.goo.gl/zPUgdmLjXC8w7G9a9
Cafe des Arts,"11.930698141590135, 79.83172647552101",This 19th-century building with vintage decor & garden seating offers French cafe fare & coffee.,food,cafe,https://maps.app.goo.gl/ACcLE1Adfx8ZhZ9V6
Hot Breads,"11.93547771478086, 79.83303181774058",,food,cafe,https://maps.app.goo.gl/jLkv2Yiw5r85sjsEA
Bread & Chocolate,"11.936584410769527, 79.83554999060065",,food,cafe,https://maps.app.goo.gl/Vrnok1HB4QsxSHtV8
Cafe 73,"11.991008910553324, 79.8303409466852",Café known for its burgers and dishes named after motorcycles.,food,continental,https://maps.app.goo.gl/FFga9VtZVXHquYhaA
Daddy Amma Momo Shop,"11.865184496066751, 79.79376283134205",,food,asian,https://maps.app.goo.gl/K6y9K9CLuQxokugS6
Gelato Artigianale Italiano,"11.92627183052412, 79.83452511966038",Italian-style gelateria serving handcrafted gelato in classic and seasonal flavors.,food,dessert,https://maps.app.goo.gl/or1Z3rFV1RdW9wEQ6
Tipsy cream,"11.929934447759063, 79.82782438103305",Dessert spot known for creative ice creams and alcohol-infused frozen treats.,food,dessert,https://maps.app.goo.gl/2BaWHcbhVDuJxGUu5
Zuka,"11.930010414609383, 79.83056344457076",,food,dessert,https://maps.app.goo.gl/P89xobMN8b776Thw6
Villa Shanti Hotel Restaurant,"11.929923519111252, 79.83341397181997",Refined restaurant blending Indian and European flavors within a heritage hotel setting.,food,fine,https://maps.app.goo.gl/LeJVxD2KSthub8gw9
Pavilion,"11.93408715420923, 79.8247794466852",Luxury hotel restaurant offering an upscale multi-cuisine dining experience with polished service.,food,fine,https://maps.app.goo.gl/AfveaGABdhUepUCH7
Anthé Restaurant,"11.925423153811817, 79.8334691945652",Fine-dining venue focusing on modern Indian cuisine with curated menus and elegant presentation.,food,fine,https://maps.app.goo.gl/US7RJ9RrZt2BYsY76
Mel Whisks,"11.935340913857802, 79.8315701847342","A very happening bar with lots of great food options, fun activities, and karaoke nights.",nightlife,,https://maps.app.goo.gl/3KgJfsUugyvJ5sMV6
Catamaran Brewing Company,"11.940546412310256, 79.82779706569006","Pondicherry's craft brewery offering house-brewed beers, pub food, and a vibrant social setting.",nightlife,,https://maps.app.goo.gl/KmDgo1UKLJoy2ApaA
Asian House Pub,"11.925331359292917, 79.83304597050845",,nightlife,,https://maps.app.goo.gl/AD4rXmXMfVd8gYPs8
Bike & Barrel,"11.934168841953701, 79.82477249880523",,nightlife,,https://maps.app.goo.gl/rKLSExuRZTzwMnHZ7
Unpack Hostel,"11.953907695152067, 79.83492720091793",,hotel,,https://maps.app.goo.gl/2KtwdhpccjgC3RSK8
Happy Ride,"11.92690453068376, 79.82574425216475",,transport,scooty,https://maps.app.goo.gl/iWPeKH4k4cYs35rx6
Star Two Wheeler,"11.927272543346088, 79.8281059762935",,transport,scooty,https://maps.app.goo.gl/dRPsyCNysshJAavp7
Bala Two Wheeler,"11.927524476221834, 79.82807378978613",,transport,scooty,https://maps.app.goo.gl/9HvZi4LVoa17hK5v6
V Ambal Two Wheeler,"11.936985358850311, 79.83162448100055",,transport,scooty,https://maps.app.goo.gl/rjngGgTJ8YnxAZsw7
Vijay Arya Bike Rentals,"11.932870742908678, 79.81959876326786",,transport,scooty,https://maps.app.goo.gl/jbkxYHG2VikTkZ8RA
Sai Two Wheeler Rent,"11.936738122118946, 79.8322574669689",,transport,scooty,https://maps.app.goo.gl/ErEbuRiFoTeGuVSz6
Joy ride's,"11.936667940953015, 79.82349172706257",,transport,scooty,https://maps.app.goo.gl/f4dHkyL2kU4tGbBQ9
M.M.K Bike Rent,"11.931593849751781, 79.81940063867212",,transport,scooty,https://maps.app.goo.gl/KRHobrDznZFQTapH8
SSS Bike Rental Service,"11.93380112410532, 79.81830215021199",,transport,scooty,https://maps.app.goo.gl/aerinLEWHus9WUXeA
Royal Brothers,"11.937285230146806, 79.83212210004473",,transport,scooty,https://maps.app.goo.gl/sEWUiPrJ2k16fB5o6
